Country,Region,Population (millions),HDI,GDP per Capita,Cropland Footprint,Grazing Footprint,Forest Footprint,Carbon Footprint,Fish Footprint
Swaziland,Africa,1.23,0.53,4657.48,0.35,0.41,0.52,0.67,0.01
Sweden,European Union,9.51,0.9,59381.9,1.47,0.27,1.3,3.88,0.09
Switzerland,Northern/Eastern Europe,8,0.93,88506.2,0.75,0.22,0.38,4.26,0.07
Syrian Arab Republic,Middle East/Central Asia,21.89,0.62,,0.52,0.09,0.04,0.81,0.01
Tajikistan,Middle East/Central Asia,8.01,0.62,836.17,0.46,0.14,0.1,0.13,0
"Tanzania, United Republic of",Africa,47.78,0.51,765.33,0.44,0.34,0.23,0.17,0.09
Thailand,Asia-Pacific,66.78,0.72,5479.29,0.67,0.02,0.24,1.54,0.13
Timor-Leste,Asia-Pacific,1.11,0.6,5167.86,0.25,0.07,0.04,0.06,0.02
Togo,Africa,6.64,0.47,580.86,0.34,0.1,0.27,0.31,0.08
Tonga,Asia-Pacific,0.1,0.72,4330.9,1.19,0.32,0.14,0.88,0.18
Trinidad and Tobago,Latin America,1.34,0.77,18310.8,0.46,0.19,0.27,6.89,0.11
Tunisia,Africa,10.88,0.72,4305.07,0.76,0.09,0.28,1.11,0.06
Turkey,Middle East/Central Asia,74,0.76,10437.7,0.87,0.12,0.34,1.92,0.04
Turkmenistan,Middle East/Central Asia,5.17,0.68,5290.14,0.73,0.44,0.08,4.13,0.01
Uganda,Africa,36.35,0.48,601.35,0.34,0.15,0.54,0.08,0.11
Ukraine,Northern/Eastern Europe,45.53,0.74,3589.63,0.62,0.01,0.16,1.92,0.06
United Kingdom,European Union,63.03,0.9,40980.5,0.82,0.28,0.45,3.14,0.08
United Arab Emirates,Middle East/Central Asia,9.206,0.83,40817.4,0.8,0.19,0.38,6.37,0.19
United States of America,North America,317.5,0.91,49725,1.13,0.3,0.67,5.9,0.12
Uruguay,Latin America,3.4,0.79,14238.1,0.19,0.98,0.55,0.98,0.05
Uzbekistan,Middle East/Central Asia,28.54,0.67,1560.85,0.62,0.13,0.08,1.41,0
"Venezuela, Bolivarian Republic of",Latin America,29.96,0.763846,10237.8,0.45,0.74,0.12,2.13,0.09
Viet Nam,Asia-Pacific,90.8,0.66,1532.31,0.5,0.01,0.19,0.79,0.05
Wallis and Futuna Islands,Asia-Pacific,0.01,,,,,,,
Yemen,Middle East/Central Asia,23.85,0.5,1302.3,0.34,0.14,0.04,0.42,0.04
Zambia,Africa,14.08,0.58,1740.64,0.19,0.18,0.33,0.24,0.01
Zimbabwe,Africa,13.72,0.49,865.91,0.2,0.32,0.29,0.53,0.01
